Client Number,Name,State,Address,City,"Longitude , Latitude"
TN2619,HAIR GLOBAL ANTIOCH (TN2619),TN,"2619 MURFREESBORO PIKE, NASHVILLE, TN 37217",NASHVILLE,"36.072366, -86.6381883"
TN3719,HAIR GLOBAL BEAUTY SUPPLY (TN3719),TN,"3719-B CLARKSVILLE PIKE, NASHVILLE, TN 37218",NASHVILLE,"36.198592310173204, -86.83952897568358"
TN1442,STAR BEAUTY (TN1442),TN,"1442 E CHESTER ST, JACKSON, TN 38301",JACKSON,"35.61165979401491, -88.79295488303394"
TN2110,UNIVERSAL BEAUTY-2 (TN2110),TN,"2110 N HIGHLAND AVE, JACKSON, TN 38305",JACKSON,"35.65982623187922, -88.82752245960468"
TN125,BEAUTY & STYLE (TN125),TN,"125 AIRWAYS BLVD, JACKSON, TN 38301",JACKSON,"35.61620559336648, -88.82514773447981"
TN1890,BEAUTY TRENDZ CORDOVA-BEAUTY SUPPLY (TN1890),TN,"1890 N GERMANTOWN PKWY, CORDOVA, TN 38016",CORDOVA,"35.17716633706966, -89.79193827918785"
TN7745,BEAUTY TRENDZ WINCHESTER-BEAUTY SUPPLY (TN7745),TN,"7745 WINCHESTER RD, MEMPHIS, TN38125",MEMPHIS,"35.04715529210459, -89.80543354428544"
TN6645,BEAUTY TRENDZ SHELBY (TN6645),TN,"6645 E SHELBY DR, MEMPHIS, TN 38141",MEMPHIS,"35.02016741711502, -89.84178740381418"
TN1396,BEAUTY MASTER BEAUTY SUPPLY (TN1396),TN,"1396 E SHELBY DR, MEMPHIS, TN 381116",MEMPHIS,"35.02162150123184, -90.01742780566892"
TN3206,BEAUTY MASTER BEAUTY SUPPLY (TN3206),TN,"3206 S PERKINS RD, MEMPHIS, TN 38118",MEMPHIS,"35.061568911589006, -89.9050623461396"
TN1070,HAIR GALLERIA (TN1070),TN,"1070 E RAINES RD, MEMPHIS, TN 38116",MEMPHIS,"35.03616339778394, -90.02757175963148"
TN5055,HAIR GALLERIA (TN5055),TN,"5055 STAGE RD, MEMPHIS, TN 38128",MEMPHIS,"35.20672526180169, -89.8955294191518"
AR101,BEAUTY TRENDZ WEST MEMPHIS- BEAUTY SUPPLY (AR101),AR,"101 DOVER RD, WEST MEMPHIS, AR 72301",WEST MEMPHIS,"35.16219336591441, -90.1853145326445"
AR7509 ,BEAUTY & BEYOND (AR7509) ,AR,"7509 CANTRELL RD #2, LITTLE ROCK, AR 72207",LITTLE ROCK,"34.77066046153567, -92.35661433080632"
